id,n_ccr
CA3710301,4
CA3710318,4
CA3710319,4
CA3810010,1
CA3810700,1
CA3900504,3
CA3900505,1
CA3900512,3
CA3900517,3
CA3900523,3
CA3900543,3
CA3900558,3
CA3900559,3
CA3900563,3
CA3900569,1
CA3900579,3
CA3900586,3
CA3900596,3
CA3900602,1
CA3900637,3
CA3900649,3
CA3900653,3
CA3900664,2
CA3900701,4
CA3900702,3
CA3900714,3
CA3900719,4
CA3900720,3
CA3900722,3
CA3900724,3
CA3900732,3
CA3900733,4
CA3900751,4
CA3900805,2
CA3900831,4
CA3900837,3
CA3900844,3
CA3900921,2
CA3900927,3
CA3900991,2
CA3901075,3
CA3901081,2
CA3901092,3
CA3901113,3
CA3901159,3
CA3901172,3
CA3901216,3
CA3901248,3
CA3901276,3
CA3901303,3
CA3901304,2
CA3901322,3
CA3901337,3
CA3901348,3
CA3901474,1
CA3910002,3
CA3910009,3
CA3910010,3
CA3910014,3
CA3910015,2
CA3910017,3
CA3910019,1
CA3910022,1
CA3910023,2
CA3910024,3
CA3910027,2
CA3910701,1
CA3910702,4
CA3910803,1
CA4000200,4
CA4000206,4
CA4000214,3
CA4000230,1
CA4000501,2
CA4000506,2
CA4000507,2
CA4000523,1
CA4000563,4
CA4000631,4
CA4000637,1
CA4000648,3
CA4000653,1
CA4000660,4
CA4000705,4
CA4000716,2
CA4000741,1
CA4000750,4
CA4000777,4
CA4000834,1
CA4000837,1
CA4000839,2
CA4000844,2
CA4000851,4
CA4000853,4
CA4010001,1
CA4010003,1
CA4010004,1
CA4010010,1
CA4010012,1
CA4010830,1
CA4010832,1
CA4100502,4
CA4100503,1
CA4100510,4
CA4100512,1
CA4100513,3
CA4100515,4
CA4100523,4
CA4100527,4
CA4100536,2
CA4100540,4
CA4100551,2
CA4100552,4
CA4100553,4
CA4100559,4
CA4100560,4
CA4100566,4
CA4100575,4
CA4100603,2
CA4100607,4
CA4100610,4
CA4110012,3
CA4110016,3
CA4110018,1
CA4110019,1
CA4110022,1
CA4110024,2
CA4110029,4
CA4200514,4
CA4200572,1
CA4200578,2
CA4200580,3
CA4200616,2
CA4200618,2
CA4200633,1
CA4200678,2
CA4200693,1
CA4200703,3
CA4200714,2
CA4200731,2
CA4200733,1
CA4200802,2
CA4200807,2
CA4200814,3
CA4200827,1
CA4200851,3
CA4200862,2
CA4200881,2
CA4200891,1
CA4200918,1
CA4200926,4
CA4200969,2
CA4210001,2
CA4210007,1
CA4210009,1
CA4210020,1
CA4210303,4
CA4210305,4
CA4210700,1
CA4300520,2
CA4300521,1
CA4300522,2
CA4300526,1
CA4300543,1
CA4300560,1
CA4300562,1
CA4300563,4
CA4300573,4
CA4300578,2
CA4300593,4
CA4300596,4
CA4300602,4
CA4300605,1
CA4300608,3
CA4300610,2
CA4300612,4
CA4300614,4
CA4300616,4
CA4300630,3
CA4300716,2
CA4300721,2
CA4300737,4
CA4300741,3
CA4300748,4
CA4300760,2
CA4300763,4
CA4300764,4
CA4300766,4
CA4300770,3
CA4300771,1
CA4300779,1
CA4300792,2
CA4300814,1
CA4300815,4
CA4300831,4
CA4300832,4
CA4300833,4
CA4300834,3
CA4300839,4
CA4300851,4
CA4300856,4
CA4300859,3
CA4300937,4
CA4300948,4
CA4300949,4
CA4300951,1
CA4300957,2
CA4300964,2
CA4300967,4
CA4300971,1
CA4300976,2
CA4300978,1
CA4300983,4
CA4300987,4
CA4300989,4
CA4300991,4
CA4300996,4
CA4300998,4
CA4300999,2
CA4301003,4
CA4301006,4
CA4301011,4
CA4301013,2
CA4310004,1
CA4310006,1
CA4310007,1
CA4310011,1
CA4310014,1
CA4310018,1
CA4310019,1
CA4310020,1
CA4310300,4
CA4400505,4
CA4400517,3
CA4400526,3
CA4400557,4
CA4400572,1
CA4400582,3
CA4400585,4
CA4400597,4
CA4400599,1
CA4400617,2
CA4400619,4
CA4400634,3
CA4400645,2
CA4400667,3
CA4400668,4
CA4400684,2
CA4400701,4
CA4400704,4
CA4400709,4
CA4400710,2
CA4400711,4
CA4400717,4
CA4400726,4
CA4400755,2
CA4400756,1
CA4400764,3
CA4400774,4
CA4400800,3
CA4400823,4
CA4400825,4
CA4400850,2
CA4400851,2
CA4400902,4
CA4400903,4
CA4400906,4
CA4400907,4
CA4400908,4
CA4410018,1
CA4410304,4
CA4410306,4
CA4410800,2
CA4500003,2
CA4500006,4
CA4500007,1
CA4500008,3
CA4500009,3
CA4500012,3
CA4500013,1
CA4500014,4
CA4500015,4
CA4500016,3
CA4500018,4
CA4500022,1
CA4500023,2
CA4500027,3
CA4500028,4
CA4500036,2
CA4500054,2
CA4500062,4
CA4500063,3
